因子名称,因子描述,排序方向,数据类型
RTN_1D,复权收盘价 / 复权收盘价_1天前 - 1,升序,double
RTN_5D,复权收盘价 / 复权收盘价_5天前 - 1,升序,double
RTN_20D,复权收盘价 / 复权收盘价_20天前 - 1,升序,double
RTN_60D,复权收盘价 / 复权收盘价_60天前 - 1,升序,double
RTN_120D,复权收盘价 / 复权收盘价_120天前 - 1,升序,double
RTN_180D,复权收盘价 / 复权收盘价_180天前 - 1,升序,double
RTN_240D,复权收盘价 / 复权收盘价_240天前 - 1,升序,double
RTN_720D,复权收盘价 / 复权收盘价_720天前 - 1,升序,double
RTN_1200D,复权收盘价 / 复权收盘价_1200天前 - 1,升序,double
Price_52WHigh,复权收盘价 / 过去240天的复权收盘价最大值 - 1,升序,double
PriceTrend_240D,"过去240天的复权收盘价的变化率, 以回归方式计算",升序,double
MaxReturn_20D,过去20天日收益率的最大值,升序,double
CL,"以 (收盘价 - 最低价) / 最低价 计算收益率, 返回过去5天收益率的和",升序,double
BS_Amount,主买总额 - 主卖总额 过去5天的和,升序,double
BS_Volume,主买总量 - 主卖总量 过去5天的和,升序,double
MomentumChg_5D,"过去5天5日收益率相对于 [0,1,2,3,4] 的回归系数",升序,double
