因子名称,因子描述,排序方向,数据类型
ESTU,当前属于回归集为1，否则为0或者NaN,,double
Industry,当前所属的 Barra 行业名称,,string
LNCAP,总市值的自然对数,升序,double
BETA,股票的超额收益与市场超额收益进行时间序列加权回归系数,升序,double
RSTR,滞后 21 个交易日的过去 504 个交易日股票超额对数收益率的加权和,降序,double
DASTD,过去 252 个交易日日超额收益率的加权标准差,升序,double
CMRA,过去 12 个月月收益率累积收益率的波动幅度,升序,double
HSIGMA,过去252个交易日残差收益率的加权标准差,升序,double
BTOP,最新财报的普通股股本除以当前的总市值,降序,double
STOM,过去一个月日换手率总和的对数,升序,double
STOQ,过去一个季度月换手率的均值,升序,double
STOA,过去一年月换手率的均值,升序,double
EPFWD,向前 12 个月的预期 E/P,降序,double
CETOP,过去 12 个月(TTM)每股现金收益与当前股价的比值,降序,double
ETOP,过去 12 个月(TTM)每股收益与当前股价的比值,降序,double
EGRLF,长期预期收益增长率，未来三年净利润分析师一致预期相对于净利润(不含少数股东损益)最新年报值的平均增长率,降序,double
EGRSF,短期预期收益增长率，未来一年净利润分析师一致预期相对于净利润(不含少数股东损益)最新年报值的平均增长率,降序,double
EGRO,"盈利增长率，过去 5 年的基本每股收益关于 [0,1,2,3,4] 回归的斜率系数，然后再除以过去 5 年基本每股收益的均值",降序,double
SGRO,"营收增长率，过去 5 年每股营业总收入关于 [0,1,2,3,4] 回归的斜率系数，然后再除以过去 5 年每股营业总收入的均值",降序,double
MLEV,市场杠杆，总市值加上最新年报的长期负债值与总市值的比值,升序,double
DTOA,资产负债率，总负债比总资产,升序,double
BLEV,账面杠杆，长期负债比长期负债和股东权益的和,升序,double
