日期,000300.SH,H11001,H11025,AUCI.SHF
2009/1/5,1882.959,129.42,1090.7611,962.3653
2009/1/6,1942.795,129.47,1090.834,933.8358
2009/1/7,1931.178,129.47,1090.9042,949.1122
2009/1/8,1887.991,129.71,1090.9451,934.7463
2009/1/9,1918.365,129.89,1090.995,945.6219
2009/1/12,1920.687,129.92,1091.1036,939.9565
2009/1/13,1876.185,129.8,1091.1606,906.4697
2009/1/14,1955.244,129.78,1091.2234,915.069
2009/1/15,1954.874,129.47,1091.298,897.7692
2009/1/16,1990.214,128.9,1091.364,912.5904
2009/1/19,2012.465,128.93,1091.476,931.3572
2009/1/20,2025.19,128.43,1091.5264,918.8629
2009/1/21,2021.71,127.81,1091.5686,943.0421
2009/1/22,2044.551,127.91,1091.6328,943.9527
2009/1/23,2032.682,128.13,1091.6696,948.5052
2009/2/2,2057.063,128.2,1092.0482,1003.895
2009/2/3,2108.91,127.97,1092.1153,998.0778
2009/2/4,2166.414,127.58,1092.16,995.7509
2009/2/5,2150.971,126.89,1092.2247,1005.3619
2009/2/6,2237.28,127,1092.264,1013.2531
2009/2/9,2296.672,127.12,1092.3826,1003.2374
2009/2/10,2326.755,127.31,1092.4241,991.4007
2009/2/11,2331.138,127.22,1092.4711,1009.5604
2009/2/12,2318.343,127.52,1092.516,1039.7086
2009/2/13,2399.065,127.51,1092.5513,1042.4402
2009/2/16,2462.245,127.64,1092.6549,1039.6075
2009/2/17,2385.293,127.55,1092.7142,1066.4677
2009/2/18,2275.843,127.62,1092.7479,1080.429
2009/2/19,2298.412,127.74,1092.7876,1082.5535
2009/2/20,2344.32,127.8,1092.8195,1084.5263
2009/2/23,2410.481,127.86,1092.9315,1095.149
2009/2/24,2301.849,127.92,1092.9756,1096.6665
2009/2/25,2304.251,128,1093.0427,1060.3976
2009/2/26,2190.185,127.94,1093.1059,1053.3158
2009/2/27,2140.489,127.7,1093.1496,1044.4636
2009/3/2,2164.666,128.09,1093.2588,1058.7789
2009/3/3,2142.154,128.02,1093.2966,1031.7163
2009/3/4,2285.149,127.87,1093.3437,1019.1714
2009/3/5,2304.919,127.65,1093.3888,1024.331
2009/3/6,2286.576,127.59,1093.4323,1050.7866
2009/3/9,2202.527,127.62,1093.5407,1042.339
2009/3/10,2240.782,127.65,1093.5832,1019.6773
2009/3/11,2220.38,127.78,1093.6301,1004.0467
2009/3/12,2215.7,127.84,1093.6785,1020.7395
2009/3/13,2205.422,127.92,1093.7198,1025.5956
2009/3/16,2241.614,128.06,1093.819,1030.047
2009/3/17,2322.403,128.21,1093.8725,1021.8524
2009/3/18,2332.652,128.16,1093.9205,1014.5683
2009/3/19,2382.564,128.28,1093.9719,1038.3934
2009/3/20,2379.838,128.13,1094.0205,1064.3432
2009/3/23,2439.395,128.23,1094.1241,1069.5028
2009/3/24,2451.783,128.15,1094.1641,1046.8916
2009/3/25,2401.327,128.26,1094.2404,1033.942
2009/3/26,2479.789,128.07,1094.3262,1043.806
2009/3/27,2498.931,127.75,1094.4039,1040.1133
2009/3/30,2484.487,127.95,1094.5171,1032.6774
2009/3/31,2507.789,127.94,1094.639,1024.2804
2009/4/1,2548.222,127.9,1094.6999,1022.4594
2009/4/2,2576.4,128.01,1094.7359,1026.1015
2009/4/3,2570.503,127.78,1094.7847,1006.323
2009/4/7,2576.95,127.72,1094.9056,978.2994
2009/4/8,2479.348,127.5,1094.9425,989.0738
2009/4/9,2517.669,127.45,1094.9772,980.1204
2009/4/10,2595.53,127.45,1095.0097,984.2278
2009/4/13,2656.518,127.7,1095.0996,990.7026
2009/4/14,2676.872,127.38,1095.1394,1001.4669
2009/4/15,2686.99,127.4,1095.1694,994.1828
2009/4/16,2687.106,127.43,1095.2,995.8521
2009/4/17,2650.691,127.46,1095.2262,973.3421
2009/4/20,2707.667,127.53,1095.3136,967.6767
2009/4/21,2675.442,127.74,1095.3517,994.6887
2009/4/22,2576.281,127.76,1095.3902,987.9609
2009/4/23,2593.564,127.69,1095.4241,994.9922
2009/4/24,2572.888,127.82,1095.4515,1017.5021
2009/4/27,2513.292,128.04,1095.5329,1018.9185
2009/4/28,2518.531,127.86,1095.5694,998.6342
2009/4/29,2605.37,128,1095.6033,997.5214
2009/4/30,2622.926,127.82,1095.6365,1002.4786
2009/5/4,2714.301,128.02,1095.7546,998.0778
2009/5/5,2727.014,128.05,1095.7963,1007.7394
2009/5/6,2764.979,127.92,1095.8279,1006.576
2009/5/7,2767.076,128.06,1095.8621,1018.4127
2009/5/8,2789.219,128.03,1095.8995,1020.5372
2009/5/11,2725.316,128.18,1095.9974,1020.9419
2009/5/12,2788.562,128.13,1096.0371,1015.3776
2009/5/13,2814.005,128.29,1096.0705,1031.7163
2009/5/14,2792.597,128.26,1096.0983,1025.4439
2009/5/15,2796.116,128.3,1096.1348,1028.0237
2009/5/18,2810.573,128.47,1096.2419,1034.5996
2009/5/19,2840.084,128.59,1096.2814,1024.0275
2009/5/20,2812.865,128.62,1096.3183,1030.5529
2009/5/21,2750.01,128.6,1096.3606,1046.3352
2009/5/22,2740.677,128.63,1096.3931,1054.1251
2009/5/25,2752.716,128.65,1096.5393,1056.1991
2009/5/26,2719.764,128.62,1096.6529,1052.2535
2009/5/27,2759.712,128.76,1096.6916,1052.0512
2009/6/1,2858.342,128.77,1096.8468,1087.6625
2009/6/2,2865.099,128.98,1096.9266,1073.1448
2009/6/3,2939.387,128.95,1096.9687,1093.5303
2009/6/4,2953.751,128.81,1097.0189,1072.1837
2009/6/5,2939.306,128.6,1097.061,1084.1216
2009/6/8,2948.478,128.46,1097.1715,1059.3353
2009/6/9,2960.556,128.55,1097.2297,1057.8178
2009/6/10,2989.595,128.49,1097.2723,1061.4599
2009/6/11,2961.629,128.53,1097.3377,1059.6388
2009/6/12,2906.286,128.26,1097.3757,1056.8061
2009/6/15,2966.192,128.37,1097.469,1036.3195
2009/6/16,2961.22,128.41,1097.5242,1038.6969
2009/6/17,3010.588,128.33,1097.5782,1043.553
2009/6/18,3057.428,128.47,1097.6386,1044.2106
2009/6/19,3080.001,128.35,1097.6836,1037.1794
2009/6/22,3082.563,128.3,1097.7915,1036.9771
2009/6/23,3083.895,128.15,1097.8347,1019.7784
2009/6/24,3120.73,128.2,1097.8826,1031.4128
2009/6/25,3117.921,128.14,1097.9482,1039.4051
2009/6/26,3128.421,128.18,1098.0315,1047.6504
2009/6/29,3179.972,128.15,1098.1616,1041.6308
2009/6/30,3166.474,128.11,1098.2222,1048.9656
2009/7/1,3237.903,128.13,1098.264,1034.195
2009/7/2,3282.359,128.15,1098.3063,1042.339
2009/7/3,3327.135,127.79,1098.3546,1037.6853
2009/7/6,3374.753,127.78,1098.4527,1028.9342
2009/7/7,3340.493,128.05,1098.507,1027.6696
2009/7/8,3352.269,128.04,1098.5555,1026.1015
2009/7/9,3396.304,128.2,1098.6062,1017.0469
2009/7/10,3398.31,127.99,1098.6767,1014.4671
2009/7/13,3361.011,127.68,1098.7546,1012.1908
2009/7/14,3454.753,127.72,1098.8102,1023.5723
2009/7/15,3493.305,127.67,1098.8404,1032.3739
2009/7/16,3501.24,127.54,1098.8821,1038.5958
2009/7/17,3519.809,127.4,1098.9596,1038.6969
2009/7/20,3591.123,127.25,1099.0776,1049.8255
2009/7/21,3539.832,127.14,1099.1367,1050.9889
2009/7/22,3606.924,127.27,1099.2214,1051.8489
2009/7/23,3651.969,127.33,1099.2954,1058.0707
2009/7/24,3667.556,127.3,1099.3678,1052.4053
2009/7/27,3743.626,127.33,1099.473,1062.6739
2009/7/28,3755.818,127.35,1099.5203,1060.1447
2009/7/29,3558.508,127.35,1099.5802,1036.4712
2009/7/30,3634.818,127.17,1099.6529,1034.4479
2009/7/31,3734.622,127.04,1099.697,1041.6814
2009/8/3,3787.033,127.02,1099.7936,1059.2847
2009/8/4,3786.615,126.96,1099.8348,1060.5999
2009/8/5,3740.936,127.05,1099.87,1069.2498
2009/8/6,3663.12,127.02,1099.9225,1070.2109
2009/8/7,3555.095,127.09,1099.9541,1065.0513
2009/8/10,3544.539,127.16,1100.0383,1061.1564
2009/8/11,3556.375,127.14,1100.0803,1053.9228
2009/8/12,3397.4,127.19,1100.1117,1047.8527
2009/8/13,3440.82,127.34,1100.1608,1060.1447
2009/8/14,3344.462,127.41,1100.1898,1061.7634
2009/8/17,3140.271,127.28,1100.3044,1048.0045
2009/8/18,3171.986,127.28,1100.3309,1044.5647
2009/8/19,3014.568,127.33,1100.363,1039.7086
2009/8/20,3144.39,127.3,1100.407,1049.6737
2009/8/21,3203.624,127.3,1100.4554,1044.6659
2009/8/24,3229.6,127.3,1100.5416,1061.1058
2009/8/25,3109.83,127.32,1100.5915,1050.3819
2009/8/26,3172.386,127.39,1100.649,1053.4676
2009/8/27,3156.301,127.42,1100.6822,1052.1524
2009/8/28,3046.781,127.48,1100.7278,1056.1991
2009/8/31,2830.271,127.44,1100.8271,1058.6777
2009/9/1,2843.7,127.36,1100.8624,1060.8529
2009/9/2,2890.926,127.46,1100.9095,1062.2692
2009/9/3,3051.964,127.47,1100.9531,1090.4446
2009/9/4,3077.142,127.52,1101.0064,1099.651
2009/9/7,3104.208,127.4,1101.0974,1107.2892
2009/9/8,3170.967,127.4,1101.1383,1127.017
2009/9/9,3194.909,127.54,1101.1928,1116.1414
