日期,000300.SH,H11001,H11025,AUCI.SHF,.GSPC.NYSE,HSI.HK
2009-01-05,1882.959,129.42,1090.7611,962.3653,927.45,15563.31
2009-01-06,1942.795,129.47,1090.834,933.8358,934.7,15509.51
2009-01-07,1931.178,129.47,1090.9042,949.1122,906.65,14987.46
2009-01-08,1887.991,129.71,1090.9451,934.7463,909.73,14415.91
2009-01-09,1918.365,129.89,1090.995,945.6219,890.35,14377.44
2009-01-12,1920.687,129.92,1091.1036,939.9565,870.26,13971.0
2009-01-13,1876.185,129.8,1091.1606,906.4697,871.79,13668.05
2009-01-14,1955.244,129.78,1091.2234,915.069,842.62,13704.61
2009-01-15,1954.874,129.47,1091.298,897.7692,843.74,13242.96
2009-01-16,1990.214,128.9,1091.364,912.5904,850.12,13255.51
2009-01-19,2012.465,128.93,1091.476,931.3572,,13339.99
2009-01-20,2025.19,128.43,1091.5264,918.8629,805.22,12959.77
2009-01-21,2021.71,127.81,1091.5686,943.0421,840.24,12583.63
2009-01-22,2044.551,127.91,1091.6328,943.9527,827.5,12657.99
2009-01-23,2032.682,128.13,1091.6696,948.5052,831.95,12578.6
2009-02-02,2057.063,128.2,1092.0482,1003.895,825.44,12861.49
2009-02-03,2108.91,127.97,1092.1153,998.0778,838.51,12776.89
2009-02-04,2166.414,127.58,1092.16,995.7509,832.23,13063.89
2009-02-05,2150.971,126.89,1092.2247,1005.3619,845.85,13178.9
2009-02-06,2237.28,127.0,1092.264,1013.2531,868.6,13655.04
2009-02-09,2296.672,127.12,1092.3826,1003.2374,869.89,13769.06
2009-02-10,2326.755,127.31,1092.4241,991.4007,827.16,13880.64
2009-02-11,2331.138,127.22,1092.4711,1009.5604,833.74,13539.21
2009-02-12,2318.343,127.52,1092.516,1039.7086,835.19,13228.3
2009-02-13,2399.065,127.51,1092.5513,1042.4402,826.84,13554.67
2009-02-16,2462.245,127.64,1092.6549,1039.6075,,13455.88
2009-02-17,2385.293,127.55,1092.7142,1066.4677,789.17,12945.4
2009-02-18,2275.843,127.62,1092.7479,1080.429,788.42,13016.0
2009-02-19,2298.412,127.74,1092.7876,1082.5535,778.94,13023.36
2009-02-20,2344.32,127.8,1092.8195,1084.5263,770.05,12699.17
2009-02-23,2410.481,127.86,1092.9315,1095.149,743.33,13175.1
2009-02-24,2301.849,127.92,1092.9756,1096.6665,773.14,12798.52
2009-02-25,2304.251,128.0,1093.0427,1060.3976,764.9,13005.08
2009-02-26,2190.185,127.94,1093.1059,1053.3158,752.83,12894.94
2009-02-27,2140.489,127.7,1093.1496,1044.4636,735.09,12811.57
2009-03-02,2164.666,128.09,1093.2588,1058.7789,700.82,12317.46
2009-03-03,2142.154,128.02,1093.2966,1031.7163,696.33,12033.88
2009-03-04,2285.149,127.87,1093.3437,1019.1714,712.87,12331.15
2009-03-05,2304.919,127.65,1093.3888,1024.331,682.55,12211.24
2009-03-06,2286.576,127.59,1093.4323,1050.7866,683.38,11921.52
2009-03-09,2202.527,127.62,1093.5407,1042.339,676.53,11344.58
2009-03-10,2240.782,127.65,1093.5832,1019.6773,719.6,11694.05
2009-03-11,2220.38,127.78,1093.6301,1004.0467,721.36,11930.66
2009-03-12,2215.7,127.84,1093.6785,1020.7395,750.74,12001.53
2009-03-13,2205.422,127.92,1093.7198,1025.5956,756.55,12525.8
2009-03-16,2241.614,128.06,1093.819,1030.047,753.89,12976.71
2009-03-17,2322.403,128.21,1093.8725,1021.8524,778.12,12878.09
2009-03-18,2332.652,128.16,1093.9205,1014.5683,794.35,13117.17
2009-03-19,2382.564,128.28,1093.9719,1038.3934,784.04,13130.92
2009-03-20,2379.838,128.13,1094.0205,1064.3432,768.54,12833.51
2009-03-23,2439.395,128.23,1094.1241,1069.5028,822.92,13447.42
2009-03-24,2451.783,128.15,1094.1641,1046.8916,806.12,13910.34
2009-03-25,2401.327,128.26,1094.2404,1033.942,813.88,13622.11
2009-03-26,2479.789,128.07,1094.3262,1043.806,832.86,14108.98
2009-03-27,2498.931,127.75,1094.4039,1040.1133,815.94,14119.5
2009-03-30,2484.487,127.95,1094.5171,1032.6774,787.53,13456.33
2009-03-31,2507.789,127.94,1094.639,1024.2804,797.87,13576.02
2009-04-01,2548.222,127.9,1094.6999,1022.4594,811.08,13519.54
2009-04-02,2576.4,128.01,1094.7359,1026.1015,834.38,14521.97
2009-04-03,2570.503,127.78,1094.7847,1006.323,842.5,14545.69
2009-04-07,2576.95,127.72,1094.9056,978.2994,815.55,14928.97
2009-04-08,2479.348,127.5,1094.9425,989.0738,825.16,14474.86
2009-04-09,2517.669,127.45,1094.9772,980.1204,856.56,14901.41
2009-04-10,2595.53,127.45,1095.0097,984.2278,,
2009-04-13,2656.518,127.7,1095.0996,990.7026,858.73,
2009-04-14,2676.872,127.38,1095.1394,1001.4669,841.5,15580.16
2009-04-15,2686.99,127.4,1095.1694,994.1828,852.06,15669.62
2009-04-16,2687.106,127.43,1095.2,995.8521,865.3,15582.99
2009-04-17,2650.691,127.46,1095.2262,973.3421,869.6,15601.27
2009-04-20,2707.667,127.53,1095.3136,967.6767,832.39,15750.91
2009-04-21,2675.442,127.74,1095.3517,994.6887,850.08,15285.89
2009-04-22,2576.281,127.76,1095.3902,987.9609,843.55,14878.45
2009-04-23,2593.564,127.69,1095.4241,994.9922,851.92,15214.46
