日期,000300.SH,000905.SH,000852.SH,H11006,H11007,H11008,H11025,AUCI.SHF,.GSPC.NYSE,HSI.HK
2009-01-05,1882.959,2020.243,1920.1,129.9,129.95,129.77,1090.7611,962.3653,927.45,15563.31
2009-01-06,1942.795,2091.892,1982.87,129.86,130.19,129.83,1090.834,933.8358,934.7,15509.51
2009-01-07,1931.178,2104.922,1995.19,129.85,130.35,129.55,1090.9042,949.1122,906.65,14987.46
2009-01-08,1887.991,2052.3,1951.99,129.89,130.54,130.74,1090.9451,934.7463,909.73,14415.91
2009-01-09,1918.365,2107.766,2009.1,129.9,130.62,131.86,1090.995,945.6219,890.35,14377.44
2009-01-12,1920.687,2137.841,2032.54,129.94,130.59,132.01,1091.1036,939.9565,870.26,13971.0
2009-01-13,1876.185,2081.672,1970.03,129.96,130.71,130.75,1091.1606,906.4697,871.79,13668.05
2009-01-14,1955.244,2160.064,2054.57,129.82,130.72,131.11,1091.2234,915.069,842.62,13704.61
2009-01-15,1954.874,2181.061,2079.86,129.28,130.65,131.24,1091.298,897.7692,843.74,13242.96
2009-01-16,1990.214,2195.634,2090.02,128.7,130.06,130.72,1091.364,912.5904,850.12,13255.51
2009-01-19,2012.465,2192.807,2085.58,128.69,130.03,131.09,1091.476,931.3572,,13339.99
2009-01-20,2025.19,2214.839,2111.39,128.25,129.43,130.54,1091.5264,918.8629,805.22,12959.77
2009-01-21,2021.71,2217.626,2107.87,127.21,129.23,130.69,1091.5686,943.0421,840.24,12583.63
2009-01-22,2044.551,2256.367,2140.16,127.36,129.26,130.77,1091.6328,943.9527,827.5,12657.99
2009-01-23,2032.682,2238.082,2122.35,127.63,129.33,131.15,1091.6696,948.5052,831.95,12578.6
2009-02-02,2057.063,2306.769,2193.69,127.7,129.48,131.02,1092.0482,1003.895,825.44,12861.49
2009-02-03,2108.91,2369.654,2254.41,127.31,129.41,131.08,1092.1153,998.0778,838.51,12776.89
2009-02-04,2166.414,2423.887,2297.07,126.85,129.09,130.76,1092.16,995.7509,832.23,13063.89
2009-02-05,2150.971,2384.764,2270.26,125.99,128.6,130.36,1092.2247,1005.3619,845.85,13178.9
2009-02-06,2237.28,2493.74,2367.72,126.04,128.59,130.93,1092.264,1013.2531,868.6,13655.04
2009-02-09,2296.672,2579.228,2441.64,126.14,128.66,131.29,1092.3826,1003.2374,869.89,13769.06
2009-02-10,2326.755,2653.213,2508.65,126.49,128.68,131.15,1092.4241,991.4007,827.16,13880.64
2009-02-11,2331.138,2658.05,2511.31,126.32,128.68,131.21,1092.4711,1009.5604,833.74,13539.21
2009-02-12,2318.343,2707.922,2557.24,126.69,128.83,131.62,1092.516,1039.7086,835.19,13228.3
