年龄(x),死亡率(q),生存人数(l),死亡人数(d),生存人年数(L),未来生存人年数总和(T),平均余命(e)
0,0.000722,1000000,722,999639,76712703.61,76.71270361
1,0.000603,999278,602.564634,998976.7177,75713064.61,75.76776894
2,0.000499,998675.4354,498.3390422,998426.2658,74714087.9,74.81318279
3,0.000416,998177.0963,415.2416721,997969.4755,73715661.63,73.85028358
4,0.000358,997761.8547,357.198744,997583.2553,72717692.16,72.88081
5,0.000323,997404.6559,322.1617039,997243.5751,71720108.9,71.90673161
6,0.000309,997082.4942,308.0984907,996928.445,70722865.33,70.92980344
7,0.000308,996774.3957,307.0065139,996620.8925,69725936.88,69.95157297
8,0.000311,996467.3892,309.901358,996312.4385,68729315.99,68.97297065
9,0.000312,996157.4878,310.8011362,996002.0873,67733003.55,67.99427237
10,0.000312,995846.6867,310.7041663,995691.3346,66737001.46,67.01533715
11,0.000312,995535.9825,310.6072266,995380.6789,65741310.13,66.03609641
12,0.000313,995225.3753,311.5055425,995069.6225,64745929.45,65.05655006
13,0.00032,994913.8698,318.3724383,994754.6836,63750859.83,64.07676259
14,0.000336,994595.4973,334.1840871,994428.4053,62756105.14,63.09711366
15,0.000364,994261.3132,361.911118,994080.3577,61761676.74,62.11815336
16,0.000404,993899.4021,401.5353585,993698.6344,60767596.38,61.14059054
17,0.000455,993497.8668,452.0415294,993271.846,59773897.75,60.16509924
18,0.000513,993045.8252,509.4325083,992791.109,58780625.9,59.19225921
19,0.000572,992536.3927,567.7308166,992252.5273,57787834.79,58.2223838
20,0.000621,991968.6619,616.012539,991660.6556,56795582.26,57.2554199
21,0.000661,991352.6494,655.2841012,991025.0073,55803921.61,56.29068691
22,0.000692,990697.3653,685.5625768,990354.584,54812896.6,55.32758895
23,0.000716,990011.8027,708.8484507,989657.3785,53822542.02,54.36555591
24,0.000738,989302.9542,730.1055802,988937.9015,52832884.64,53.40415129
25,0.000759,988572.8487,750.3267921,988197.6853,51843946.74,52.44322339
26,0.000779,987822.5219,769.5137445,987437.765,50855749.05,51.48267824
27,0.000795,987053.0081,784.7071415,986660.6546,49868311.29,50.52242471
28,0.000815,986268.301,803.8086653,985866.3967,48881650.63,49.56222418
29,0.000842,985464.4923,829.7611025,985049.6118,47895784.23,48.6022425
30,0.000881,984634.7312,867.4631982,984200.9996,46910734.62,47.64277872
31,0.000932,983767.268,916.8710938,983308.8325,45926533.62,46.68434813
32,0.000994,982850.3969,976.9532945,982361.9203,44943224.79,45.7274321
33,0.001055,981873.4436,1035.876483,981355.5054,43960862.87,44.7724329
34,0.001121,980837.5671,1099.518913,980287.8077,42979507.36,43.81918964
35,0.001194,979738.0482,1169.80723,979153.1446,41999219.56,42.86780495
36,0.001275,978568.241,1247.674507,977944.4038,41020066.41,41.91845259
37,0.001367,977320.5665,1335.997214,976652.5679,40042122.01,40.97132853
38,0.001472,975984.5693,1436.649286,975266.2446,39065469.44,40.02672857
39,0.001589,974547.92,1548.556645,973773.6417,38090203.2,39.08499768
40,0.001715,972999.3634,1668.693908,972165.0164,37116429.55,38.14640682
41,0.001845,971330.6694,1792.105085,970434.6169,36144264.54,37.21108133
42,0.001978,969538.5644,1917.74728,968579.6907,35173829.92,36.27893847
43,0.002113,967620.8171,2044.582786,966598.5257,34205250.23,35.34984947
44,0.002255,965576.2343,2177.374408,964487.5471,33238651.7,34.42364313
45,0.002413,963398.8599,2324.681449,962236.5192,32274164.16,33.50031384
46,0.002595,961074.1784,2493.987493,959827.1847,31311927.64,32.58013621
47,0.002805,958580.1909,2688.817436,957235.7822,30352100.45,31.66360075
48,0.003042,955891.3735,2907.821558,954437.4627,29394864.67,30.75126054
49,0.003299,952983.552,3143.892738,951411.6056,28440427.21,29.84356566
50,0.00357,949839.6592,3390.927583,948144.1954,27489015.6,28.9406905
51,0.003847,946448.7316,3640.988271,944628.2375,26540871.41,28.04258754
52,0.004132,942807.7434,3895.681596,940859.9026,25596243.17,27.14895306
53,0.004434,938912.0618,4163.136082,936830.4937,24655383.27,26.25952341
54,0.004778,934748.9257,4466.230367,932515.8105,23718552.77,25.37424984
