年龄,ix,kx
0,0.000595,2.60%
1,0.00053,11.01%
2,0.000469,14.18%
3,0.00042,15.63%
4,0.000393,16.42%
5,0.000378,17.03%
6,0.000359,17.87%
7,0.000344,18.98%
8,0.000331,19.76%
9,0.000319,20.64%
10,0.00031,21.48%
11,0.000303,22.21%
12,0.000301,22.82%
13,0.000302,23.30%
14,0.000307,23.62%
15,0.000318,23.72%
16,0.000334,23.54%
17,0.000354,23.02%
18,0.000379,22.18%
19,0.000408,21.16%
20,0.000441,20.18%
21,0.000478,19.50%
22,0.000519,19.33%
23,0.000565,19.80%
24,0.000616,20.84%
25,0.00067,22.26%
26,0.000726,23.83%
27,0.000782,25.33%
28,0.000838,26.65%
29,0.000893,27.78%
30,0.000949,28.80%
31,0.001009,29.86%
32,0.001078,31.05%
33,0.001162,32.43%
34,0.001267,34.01%
35,0.001396,35.78%
36,0.00155,37.71%
37,0.001732,39.80%
38,0.001945,42.03%
39,0.00219,44.34%
40,0.002474,46.67%
41,0.0028,48.95%
42,0.003172,51.11%
43,0.003595,53.10%
44,0.00407,54.91%
45,0.0046,56.54%
46,0.005183,58.01%
47,0.005817,59.34%
48,0.006502,60.57%
49,0.007235,61.69%
50,0.008018,62.70%
51,0.008854,63.64%
52,0.009753,64.54%
53,0.010719,65.42%
54,0.011752,66.25%
55,0.012842,66.98%
56,0.013971,67.55%
57,0.01512,67.95%
58,0.016274,68.16%
59,0.01743,68.22%
60,0.018591,68.16%
61,0.01977,68.06%
62,0.020984,67.97%
63,0.022254,67.95%
64,0.0236,67.97%
65,0.02529,68.02%
66,0.027409,68.04%
67,0.03002,68.01%
68,0.032422,67.90%
69,0.035071,67.66%
70,0.0385,67.25%
71,0.04148,66.67%
72,0.044662,65.92%
73,0.047245,65.03%
74,0.049972,64.06%
75,0.052903,63.05%
76,0.056087,62.01%
77,0.059566,60.99%
78,0.062548,60.01%
79,0.065766,59.06%
80,0.06952,58.14%
81,0.073459,57.21%
82,0.077563,56.29%
83,0.081201,55.43%
84,0.085051,54.65%
85,0.089178,53.97%
86,0.093649,53.38%
87,0.098518,52.87%
88,0.103839,52.41%
89,0.109632,51.94%
90,0.115226,51.42%
91,0.121086,50.79%
92,0.127085,50.04%
93,0.133086,49.13%
94,0.138967,47.49%
95,0.144605,45.23%
96,0.149921,43.00%
97,0.155199,40.88%
98,0.159675,38.70%
99,0.164318,36.72%
100,0.169022,34.91%
101,0.173944,33.29%
102,0.17905,31.83%
103,0.184345,30.53%
104,0.189837,29.39%
105,0.1955,19.55%
